Source,Target,Type,Weight
mailtribune,APR_Radio,undirected,19995.833333333332
mailtribune,ScottLegler,undirected,19995.3
mailtribune,LAmaleCA,undirected,19987.983333333334
mailtribune,PoojaOnTV,undirected,19967.616666666665
mailtribune,topdog1209,undirected,19862.766666666666
mailtribune,cbs11doug,undirected,19742.4
mailtribune,tiniskwerl,undirected,19735.6
GypsyRoseKnows,Natalie_Page,undirected,19965.9
GypsyRoseKnows,Bchamcharatsri,undirected,39904.63333333333
GypsyRoseKnows,AprilTheSocialM,undirected,19946.183333333334
GypsyRoseKnows,therunawaymama,undirected,19915.333333333332
GypsyRoseKnows,TheExpGourmand,undirected,19891.083333333332
GypsyRoseKnows,ncchrisp,undirected,19890.85
GypsyRoseKnows,danadanewfame,undirected,19845.283333333333
GypsyRoseKnows,bck27,undirected,19842.933333333334
GypsyRoseKnows,JimmyXJames,undirected,19800.083333333332
GypsyRoseKnows,CaseyCorliss,undirected,19789.5
GypsyRoseKnows,WxManAJB,undirected,19739.416666666668
APR_Radio,ScottLegler,undirected,351381.7000000001
APR_Radio,LAmaleCA,undirected,39984.3
APR_Radio,walicolt2020,undirected,19988.883333333335
APR_Radio,PoojaOnTV,undirected,19971.783333333333
APR_Radio,steeveedee63,undirected,19969.833333333332
APR_Radio,MrDVillanueva,undirected,19952.866666666665
APR_Radio,topdog1209,undirected,39733.86666666667
APR_Radio,TannerBeymer,undirected,19822.266666666666
APR_Radio,SpencerRicks,undirected,19804.133333333335
APR_Radio,cbs11doug,undirected,19746.566666666666
APR_Radio,tiniskwerl,undirected,19739.766666666666
ScottLegler,LAmaleCA,undirected,39985.36666666667
ScottLegler,walicolt2020,undirected,19989.416666666668
ScottLegler,PoojaOnTV,undirected,19972.316666666666
ScottLegler,steeveedee63,undirected,19970.366666666665
ScottLegler,MrDVillanueva,undirected,19953.4
ScottLegler,topdog1209,undirected,39734.933333333334
ScottLegler,TannerBeymer,undirected,19822.8
ScottLegler,SpencerRicks,undirected,19804.666666666668
ScottLegler,cbs11doug,undirected,19747.1
ScottLegler,tiniskwerl,undirected,19740.3
LAmaleCA,walicolt2020,undirected,38614.78333333333
LAmaleCA,PoojaOnTV,undirected,19979.633333333335
LAmaleCA,steeveedee63,undirected,38576.683333333334
LAmaleCA,MrDVillanueva,undirected,38542.75
LAmaleCA,romainelettuc10,undirected,19971.3
LAmaleCA,westerndigital,undirected,19971.766666666666
LAmaleCA,sportsterchic,undirected,19966.833333333332
LAmaleCA,topdog1209,undirected,39749.566666666666
LAmaleCA,LaughItOff,undirected,19935.2
LAmaleCA,HoustonPubMedia,undirected,19898.85
LAmaleCA,TannerBeymer,undirected,39721.55
LAmaleCA,SpencerRicks,undirected,39685.28333333333
LAmaleCA,MigTorres314,undirected,19816.616666666665
LAmaleCA,cbs11doug,undirected,19754.416666666668
LAmaleCA,tiniskwerl,undirected,19747.616666666665
walicolt2020,steeveedee63,undirected,39961.9
walicolt2020,Frambozen,undirected,18732.666666666668
walicolt2020,MrDVillanueva,undirected,39927.96666666667
walicolt2020,westerndigital,undirected,19913.716666666667
walicolt2020,sportsterchic,undirected,19908.783333333333
walicolt2020,topdog1209,undirected,19878.05
walicolt2020,LaughItOff,undirected,19877.15
walicolt2020,MariettaPosts,undirected,37268.433333333334
walicolt2020,HoustonPubMedia,undirected,39681.6
walicolt2020,TannerBeymer,undirected,39666.76666666667
walicolt2020,SpencerRicks,undirected,39630.5
walicolt2020,MigTorres314,undirected,39517.13333333333
walicolt2020,tiniskwerl,undirected,19750.883333333335
walicolt2020,Data_Dreamer,undirected,39894.86666666667
PoojaOnTV,topdog1209,undirected,19895.15
PoojaOnTV,cbs11doug,undirected,19774.783333333333
PoojaOnTV,tiniskwerl,undirected,19767.983333333334
steeveedee63,MrDVillanueva,undirected,39966.066666666666
steeveedee63,westerndigital,undirected,19932.766666666666
steeveedee63,sportsterchic,undirected,19927.833333333332
steeveedee63,topdog1209,undirected,19897.1
steeveedee63,LaughItOff,undirected,19896.2
steeveedee63,HoustonPubMedia,undirected,19859.85
steeveedee63,TannerBeymer,undirected,39704.86666666667
steeveedee63,SpencerRicks,undirected,59502.899999999994
steeveedee63,MigTorres314,undirected,19777.616666666665
steeveedee63,tiniskwerl,undirected,19769.933333333334
Natalie_Page,Bchamcharatsri,undirected,19986.416666666668
Natalie_Page,Frambozen,undirected,19985.033333333333
Natalie_Page,AprilTheSocialM,undirected,19980.283333333333
Natalie_Page,therunawaymama,undirected,19949.433333333334
Natalie_Page,TheExpGourmand,undirected,39850.36666666667
Natalie_Page,ncchrisp,undirected,19924.95
Natalie_Page,MariettaPosts,undirected,19886.583333333332
Natalie_Page,danadanewfame,undirected,39758.76666666667
Natalie_Page,bck27,undirected,19877.033333333333
Natalie_Page,JimmyXJames,undirected,19834.183333333334
Natalie_Page,CaseyCorliss,undirected,19823.6
Natalie_Page,WxManAJB,undirected,19773.516666666666
LaughingRedhead,MichaelHenrich,undirected,39879.36666666667
LaughingRedhead,romainelettuc10,undirected,19938.95
LaughingRedhead,NJPoisonCenter,undirected,19863.616666666665
LaughingRedhead,KateManning10,undirected,39637.4
LaughingRedhead,KVUE,undirected,19774.6
LaughingRedhead,KBow5,undirected,19757.083333333332
Bchamcharatsri,AprilTheSocialM,undirected,39987.73333333333
Bchamcharatsri,therunawaymama,undirected,19963.016666666666
Bchamcharatsri,TheExpGourmand,undirected,19938.766666666666
Bchamcharatsri,ncchrisp,undirected,19938.533333333333
Bchamcharatsri,danadanewfame,undirected,19892.966666666667
Bchamcharatsri,bck27,undirected,19890.616666666665
Bchamcharatsri,JimmyXJames,undirected,19847.766666666666
Bchamcharatsri,CaseyCorliss,undirected,19837.183333333334
Bchamcharatsri,WxManAJB,undirected,19787.1
Frambozen,TheExpGourmand,undirected,19940.15
Frambozen,MariettaPosts,undirected,39803.1
Frambozen,danadanewfame,undirected,19894.35
Frambozen,Data_Dreamer,undirected,19774.766666666666
MrDVillanueva,westerndigital,undirected,19949.733333333334
MrDVillanueva,sportsterchic,undirected,19944.8
MrDVillanueva,topdog1209,undirected,19914.066666666666
MrDVillanueva,LaughItOff,undirected,19913.166666666668
MrDVillanueva,HoustonPubMedia,undirected,19876.816666666666
MrDVillanueva,TannerBeymer,undirected,39738.8
MrDVillanueva,SpencerRicks,undirected,39702.53333333333
MrDVillanueva,MigTorres314,undirected,19794.583333333332
AprilTheSocialM,therunawaymama,undirected,19969.15
AprilTheSocialM,TheExpGourmand,undirected,19944.9
AprilTheSocialM,ncchrisp,undirected,19944.666666666668
AprilTheSocialM,danadanewfame,undirected,19899.1
AprilTheSocialM,bck27,undirected,19896.75
AprilTheSocialM,JimmyXJames,undirected,19853.9
AprilTheSocialM,CaseyCorliss,undirected,19843.316666666666
AprilTheSocialM,WxManAJB,undirected,19793.233333333334
therunawaymama,TheExpGourmand,undirected,19975.75
therunawaymama,ncchrisp,undirected,39951.03333333333
therunawaymama,danadanewfame,undirected,19929.95
therunawaymama,bck27,undirected,19927.6
therunawaymama,JimmyXJames,undirected,19884.75
therunawaymama,CaseyCorliss,undirected,39748.333333333336
therunawaymama,WxManAJB,undirected,19824.083333333332
MichaelHenrich,romainelettuc10,undirected,19999.266666666666
MichaelHenrich,NJPoisonCenter,undirected,19923.933333333334
MichaelHenrich,KateManning10,undirected,39758.03333333333
MichaelHenrich,KVUE,undirected,19834.916666666668
MichaelHenrich,KBow5,undirected,19817.4
romainelettuc10,FarleyEye,undirected,19936.416666666668
romainelettuc10,KateManning10,undirected,19879.75
westerndigital,sportsterchic,undirected,19995.066666666666
westerndigital,LaughItOff,undirected,19963.433333333334
westerndigital,HoustonPubMedia,undirected,19927.083333333332
westerndigital,TannerBeymer,undirected,19919.666666666668
westerndigital,SpencerRicks,undirected,19901.533333333333
westerndigital,MigTorres314,undirected,19844.85
westerndigital,tiniskwerl,undirected,19837.166666666668
sportsterchic,LaughItOff,undirected,19968.366666666665
sportsterchic,HoustonPubMedia,undirected,19932.016666666666
sportsterchic,TannerBeymer,undirected,19924.6
sportsterchic,SpencerRicks,undirected,19906.466666666667
sportsterchic,MigTorres314,undirected,19849.783333333333
TheExpGourmand,ncchrisp,undirected,19999.766666666666
TheExpGourmand,MariettaPosts,undirected,19961.4
TheExpGourmand,danadanewfame,undirected,39908.4
TheExpGourmand,bck27,undirected,19951.85
TheExpGourmand,JimmyXJames,undirected,19909.0
TheExpGourmand,CaseyCorliss,undirected,19898.416666666668
TheExpGourmand,WxManAJB,undirected,19848.333333333332
ncchrisp,danadanewfame,undirected,19954.433333333334
ncchrisp,bck27,undirected,19952.083333333332
ncchrisp,JimmyXJames,undirected,19909.233333333334
ncchrisp,CaseyCorliss,undirected,39797.3
ncchrisp,WxManAJB,undirected,19848.566666666666
topdog1209,TannerBeymer,undirected,19955.333333333332
topdog1209,SpencerRicks,undirected,19937.2
topdog1209,cbs11doug,undirected,19879.633333333335
topdog1209,tiniskwerl,undirected,19872.833333333332
LaughItOff,HoustonPubMedia,undirected,19963.65
LaughItOff,TannerBeymer,undirected,19956.233333333334
LaughItOff,SpencerRicks,undirected,19938.1
LaughItOff,MigTorres314,undirected,19881.416666666668
MariettaPosts,danadanewfame,undirected,19992.8
MariettaPosts,Data_Dreamer,undirected,19873.216666666667
danadanewfame,bck27,undirected,19997.65
danadanewfame,JimmyXJames,undirected,19954.8
danadanewfame,CaseyCorliss,undirected,19944.216666666667
danadanewfame,WxManAJB,undirected,19894.133333333335
bck27,JimmyXJames,undirected,19957.15
bck27,CaseyCorliss,undirected,19946.566666666666
bck27,WxManAJB,undirected,19896.483333333334
NJPoisonCenter,KateManning10,undirected,19955.083333333332
NJPoisonCenter,KVUE,undirected,19910.983333333334
NJPoisonCenter,KBow5,undirected,19893.466666666667
HoustonPubMedia,TannerBeymer,undirected,19992.583333333332
HoustonPubMedia,SpencerRicks,undirected,19974.45
HoustonPubMedia,MigTorres314,undirected,39835.53333333333
HoustonPubMedia,tiniskwerl,undirected,19966.933333333334
TannerBeymer,SpencerRicks,undirected,39963.73333333333
